Type,Domain,Prefix,sbr-nl,local,xbrl
arcroles,ocw,http://xbrl.org/int/dim/arcrole/dimension-domain,False,False,True
arcroles,ocw,http://xbrl.org/int/dim/arcrole/domain-member,False,False,True
arcroles,ocw,http://xbrl.org/int/dim/arcrole/all,False,False,True
arcroles,ocw,http://xbrl.org/int/dim/arcrole/hypercube-dimension,False,False,True
arcroles,ocw,http://xbrl.org/arcrole/2008/element-label,False,False,True
arcroles,ocw,http://xbrl.org/arcrole/2010/assertion-unsatisfied-message,False,False,True
arcroles,ocw,http://xbrl.org/arcrole/2008/assertion-set,False,False,True
arcroles,ocw,http://xbrl.org/arcrole/2008/variable-set,False,False,True
arcroles,ocw,http://xbrl.org/arcrole/2016/assertion-unsatisfied-severity,False,False,True
arcroles,ocw,http://xbrl.org/arcrole/2008/variable-set-filter,False,False,True
arcroles,ocw,http://xbrl.org/arcrole/2008/variable-filter,False,False,True
arcroles,ocw,http://xbrl.org/arcrole/2008/boolean-filter,False,False,True
arcroles,ocw,http://www.xbrl.org/2003/arcrole/concept-label,False,False,True
arcroles,ocw,http://www.xbrl.org/2003/arcrole/concept-reference,False,False,True
arcroles,ocw,http://www.w3.org/1999/xlink/properties/linkbase,False,False,False
arcroles,ocw,http://www.xbrl.org/2003/arcrole/general-special,False,False,True
arcroles,ocw,http://xbrl.org/arcrole/2014/breakdown-tree,False,False,True
arcroles,ocw,http://xbrl.org/arcrole/2014/table-breakdown,False,False,True
arcroles,ocw,http://www.xbrl.org/2003/arcrole/parent-child,False,False,True
arcroles,ocw,http://xbrl.org/arcrole/2014/definition-node-subtree,False,False,True
arcroles,ocw,http://www.xbrl.org/2013/arcrole/parent-child,False,False,True
arcroles,ocw,http://www.nltaxonomie.nl/2011/arcrole/linkrole-order,True,False,False
arcroles,rj,http://xbrl.org/int/dim/arcrole/all,False,False,True
arcroles,rj,http://xbrl.org/int/dim/arcrole/domain-member,False,False,True
arcroles,rj,http://www.xbrl.org/2003/arcrole/concept-label,False,False,True
arcroles,rj,http://xbrl.org/arcrole/2008/element-reference,False,False,True
arcroles,rj,http://xbrl.org/arcrole/2008/element-label,False,False,True
arcroles,rj,http://www.nltaxonomie.nl/2017/arcrole/ConceptDisclosure,True,False,False
arcroles,rj,http://www.xbrl.org/2003/arcrole/concept-reference,False,False,True
arcroles,rj,http://www.w3.org/1999/xlink/properties/linkbase,False,False,False
arcroles,rj,http://www.nltaxonomie.nl/2017/arcrole/ConceptMemberEquivalence,True,False,False
arcroles,rj,http://www.nltaxonomie.nl/2017/arcrole/ConceptPolicy,True,False,False
arcroles,rj,http://www.xbrl.org/2003/arcrole/parent-child,False,False,True
arcroles,rj,http://www.nltaxonomie.nl/2011/arcrole/linkrole-order,True,False,False
arcroles,jenv,http://xbrl.org/int/dim/arcrole/all,False,False,True
arcroles,jenv,http://xbrl.org/int/dim/arcrole/domain-member,False,False,True
arcroles,jenv,http://www.xbrl.org/2003/arcrole/concept-label,False,False,True
arcroles,jenv,http://www.nltaxonomie.nl/2017/arcrole/ConceptMemberEquivalence,True,False,False
arcroles,jenv,http://www.w3.org/1999/xlink/properties/linkbase,False,False,False
arcroles,jenv,http://www.xbrl.org/2003/arcrole/concept-reference,False,False,True
arcroles,jenv,http://xbrl.org/arcrole/2008/element-label,False,False,True
arcroles,jenv,http://www.nltaxonomie.nl/2017/arcrole/ConceptPolicy,True,False,False
arcroles,jenv,http://www.nltaxonomie.nl/2017/arcrole/ConceptDisclosure,True,False,False
arcroles,jenv,http://xbrl.org/arcrole/2008/element-reference,False,False,True
arcroles,jenv,http://www.xbrl.org/2003/arcrole/parent-child,False,False,True
arcroles,jenv,http://www.nltaxonomie.nl/2011/arcrole/linkrole-order,True,False,False
arcroles,iasb,http://www.xbrl.org/2003/arcrole/concept-label,False,False,True
arcroles,ezk,http://xbrl.org/int/dim/arcrole/domain-member,False,False,True
arcroles,ezk,http://xbrl.org/int/dim/arcrole/all,False,False,True
arcroles,ezk,http://www.xbrl.org/2003/arcrole/concept-label,False,False,True
arcroles,ezk,http://xbrl.org/arcrole/2008/element-reference,False,False,True
arcroles,ezk,http://www.w3.org/1999/xlink/properties/linkbase,False,False,False
arcroles,ezk,http://xbrl.org/arcrole/2008/element-label,False,False,True
arcroles,ezk,http://www.xbrl.org/2003/arcrole/concept-reference,False,False,True
arcroles,ezk,http://www.nltaxonomie.nl/2011/arcrole/linkrole-order,True,False,False
arcroles,ezk,http://www.xbrl.org/2003/arcrole/parent-child,False,False,True
arcroles,bd,http://xbrl.org/int/dim/arcrole/hypercube-dimension,False,False,True
arcroles,bd,http://xbrl.org/int/dim/arcrole/all,False,False,True
arcroles,bd,http://xbrl.org/int/dim/arcrole/dimension-domain,False,False,True
arcroles,bd,http://www.xbrl.org/2003/arcrole/concept-label,False,False,True
arcroles,bd,http://xbrl.org/int/dim/arcrole/domain-member,False,False,True
arcroles,bd,http://xbrl.org/arcrole/2008/element-label,False,False,True
arcroles,bd,http://www.w3.org/1999/xlink/properties/linkbase,False,False,False
arcroles,bd,http://www.xbrl.org/2003/arcrole/general-special,False,False,True
arcroles,bd,http://www.xbrl.org/2003/arcrole/concept-reference,False,False,True
arcroles,bd,http://www.xbrl.org/2003/arcrole/parent-child,False,False,True
arcroles,bd,http://www.nltaxonomie.nl/2011/arcrole/linkrole-order,True,False,False
arcroles,kvk,http://xbrl.org/int/dim/arcrole/domain-member,False,False,True
arcroles,kvk,http://xbrl.org/arcrole/2008/variable-set-precondition,False,False,True
arcroles,kvk,http://xbrl.org/arcrole/2016/assertion-unsatisfied-severity,False,False,True
arcroles,kvk,http://xbrl.org/arcrole/2008/variable-set,False,False,True
arcroles,kvk,http://xbrl.org/arcrole/2008/variable-filter,False,False,True
