Type,Domain,Prefix,sbr-nl,local,xbrl
roles,ocw,urn:ocw:linkrole:notes-noncurrent-liabilities-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-provisions-movement-education,False,True,False
roles,ocw,http://www.xbrl.org/2008/role/label,False,False,True
roles,ocw,urn:kvk:linkrole:notes-consolidated-subsidy-income-spend-including-surplus-specification-education,False,True,False
roles,ocw,urn:ocw:linkrole:document-information-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-subsidies-provided-breakdown-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-auditors-fees-breakdown,False,True,False
roles,ocw,urn:ocw:linkrole:notes-tuition-course-training-exam-fees-breakdown-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-receivables-breakdown-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-government-contributions-income-transfers-school-boards-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-income-on-third-party-contracts-education,False,True,False
roles,ocw,urn:kvk:linkrole:continuity-paragraph-state-consolidated-income-expenses-statement-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-cash-and-cash-equivalents-education,False,True,False
roles,ocw,urn:kvk:linkrole:report-of-the-supervisory-body-education,False,True,False
roles,ocw,http://www.xbrl.org/2010/role/message,False,False,True
roles,ocw,urn:kvk:linkrole:notes-consolidated-income-expenses-statement-segmentation-activities-specification-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-expenses-other-breakdown-education,False,True,False
roles,ocw,urn:ocw:linkrole:finances-medical-faculty-related-to-univerity-hospital-included-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-income-expenses-statement-segmentation-activities-specification-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-equity-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-subsidy-income-continuing-into-next-year-specification-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-receivables-receivables-other-current-specification-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-property-plant-equipment-breakdown-education,False,True,False
roles,ocw,urn:kvk:linkrole:classes-of-equity-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-provisions-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-financial-income-expense-breakdown-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-remuneration-maximum-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-financial-assets-movement-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-subsidy-income-spend-including-surplus-specification-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-employee-benefits-expenses-breakdown-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-subsidy-income-breakdown-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-financial-assets-movement-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-remuneration-maximum-education,False,True,False
roles,ocw,urn:kvk:linkrole:continuity-paragraph-balance-sheet-education,False,True,False
roles,ocw,urn:ocw:linkrole:entity-information-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-receivables-receivables-other-current-specification-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-central-government-contributions-breakdown-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-provisions-breakdown-education,False,True,False
roles,ocw,urn:ocw:linkrole:classes-of-property-plant-equipment-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-central-government-contributions-breakdown-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-provisions-breakdown-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-general-notes-group-structure-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-government-contributions-and-subsidies-other-breakdown-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-noncurrent-liabilities-movement-education,False,True,False
roles,ocw,urn:kvk:linkrole:report-of-the-management-board-claims-payments-managing-directors-specification-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-accommodation-costs-breakdown-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-cash-and-cash-equivalents-breakdown-education,False,True,False
roles,ocw,urn:kvk:linkrole:balance-sheet-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-equity-designated-fund-private-movement-specification-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-current-liabilities-breakdown-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-government-contributions-income-transfers-school-boards-breakdown-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-accounting-principles-result-education,False,True,False
roles,ocw,urn:kvk:linkrole:continuity-paragraph-staffing-level-breakdown-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-property-plant-equipment-movement-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-employee-benefits-expenses-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-equity-statement-of-changes-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-income-other-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-subsidy-income-breakdown-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-financial-assets-breakdown-education,False,True,False
roles,ocw,urn:kvk:linkrole:continuity-paragraph-consolidated-balance-sheet-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-inventories-breakdown-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-income-on-third-party-contracts-breakdown-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-cash-and-cash-equivalents-breakdown-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-expenses-other-breakdown-education,False,True,False
roles,ocw,urn:kvk:linkrole:consolidated-cash-flow-statement-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-income-other-breakdown-education,False,True,False
roles,ocw,urn:ocw:linkrole:accounting-use-educational-lag-resources-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-remuneration-executive-senior-officials-from13month-specification-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-equity-designated-fund-specification-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-government-contributions-and-subsidies-other-breakdown-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-financial-income-expense-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-income-expenses-statement-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-equity-designated-reserve-specification-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-noncurrent-liabilities-breakdown-education,False,True,False
